crank	name	surname	country	dob
43	Belinda	Bencic	Switzerland	10-Mar-1997
44	Jelena	Ostapenko	Latvia	08-Jun-1997
45	Christina	Mchale	United states	11-May-1992
46	Eugenie	Bouchard	Canada	25-Feb-1994
47	Ana	Konjuh	Croatia	27-Dec-1997
48	Naomi	Osaka	Japan	16-Oct-1997
49	Sara	Errani	Italy	29-Apr-1987
50	Johanna	Larsson	Sweden	17-Aug-1988
51	Annika	Beck	Germany	16-Feb-1994
52	Katerina	Siniakova	Czech republic	10-May-1996
53	Julia	Goerges	Germany	02-Nov-1988
54	Jelena	Jankovic	Serbia	28-Feb-1985
55	Andrea	Petkovic	Germany	09-Sep-1987
56	Viktorija	Golubic	Switzerland	16-Oct-1992
57	Lesia	Tsurenko	Ukraine	30-May-1989
58	Yanina	Wickmayer	Belgium	20-Oct-1989
59	Shelby	Rogers	United states	13-Oct-1992
60	Kristyna	Pliskova	Czech republic	21-Mar-1992
61	Lauren	Davis	United states	09-Oct-1993
62	Lucie	Safarova	Czech republic	04-Feb-1987
63	Ana	Ivanovic	Serbia	06-Nov-1987
64	Tsvetana	Pironkova	Bulgaria	13-Sep-1987
65	Kirsten	Flipkens	Belgium	10-Jan-1986
66	Lara	Arruabarrena	Spain	20-Mar-1992
67	Anna-lena	Friedsam	Germany	01-Feb-1994
68	Louisa	Chirico	United states	16-May-1996
69	Kateryna	Bondarenko	Ukraine	08-Aug-1986
70	Pauline	Parmentier	France	31-Jan-1986
71	Danka	Kovinic	Montenegro	18-Nov-1994
72	Qiang	Wang	China	14-Jan-1992
73	Madison	Brengle	United states	03-Apr-1990
74	Oceane	Dodin	France	24-Oct-1996
75	Catherine	Bellis	United states	08-Apr-1999
76	Heather	Watson	United kingdom	19-May-1992
77	Cagla	Buyukakcay	Turkey	28-Sep-1989
78	Kurumi	Nara	Japan	30-Dec-1991
79	Vania	King	United states	03-Feb-1989
80	Sorana	Cirstea	Romania	07-Apr-1990
81	Mirjana	Lucic-baroni	Croatia	09-Mar-1982
82	Kristina	Kucova	Slovakia	23-May-1990
83	Camila	Giorgi	Italy	30-Dec-1991
84	Shuai	Peng	China	08-Jan-1986
85	Saisai	Zheng	China	05-Feb-1994
86	Evgeniya	Rodina	Russia	04-Feb-1989
87	Carina	Witthoeft	Germany	16-Feb-1995
88	Nicole	Gibbs	United states	03-Mar-1993
89	Varvara	Lepchenko	United states	21-May-1986
90	Naomi	Broady	United kingdom	28-Feb-1990
91	Denisa	Allertova	Czech republic	07-Mar-1993
92	Sabine	Lisicki	Germany	22-Sep-1989
93	Irina	Khromacheva	Russia	12-May-1995
94	Nao	Hibino	Japan	28-Nov-1994
95	Magda	Linette	Poland	12-Feb-1992
96	Risa	Ozaki	Japan	10-Apr-1994
97	Maria	Sakkari	Greece	25-Jul-1995
98	Irina	Falconi	United states	04-May-1990
99	Jana	Cepelova	Slovakia	29-May-1993
100	Donna	Vekic	Croatia	28-Jun-1996
101	Kateryna	Kozlova	Ukraine	20-Feb-1994
102	Francesca	Schiavone	Italy	23-Jun-1980
103	Ying-ying	Duan	China	03-Jul-1989
104	Mandy	Minella	Luxembourg	22-Nov-1985
105	Marina	Erakovic	New zealand	06-Mar-1988
106	Sara	Sorribes tormo	Spain	08-Oct-1996
107	Patricia maria	Tig	Romania	27-Jul-1994
108	Su-wei	Hsieh	Chinese taipei	04-Jan-1986
109	Ekaterina	Alexandrova	Russia	15-Nov-1994
110	Mariana	Duque-mariño	Colombia	12-Aug-1989
111	Xinyun	Han	China	30-May-1990
112	Anett	Kontaveit	Estonia	24-Dec-1995
113	Samantha	Crawford	United states	18-Feb-1995
114	Stefanie	Voegele	Switzerland	10-Mar-1990
115	Tatjana	Maria	Germany	08-Aug-1987
116	Yafan	Wang	China	30-Apr-1994
117	Margarita	Gasparyan	Russia	01-Sep-1994
118	Jennifer	Brady	United states	12-Apr-1995
119	Julia	Boserup	United states	09-Sep-1991
120	Rebecca	Sramkova	Slovakia	19-Oct-1996
121	Alison	Van uytvanck	Belgium	26-Mar-1994
122	Maryna	Zanevska	Belgium	24-Aug-1993
123	Aliaksandra	Sasnovich	Belarus	22-Mar-1994
124	Lin	Zhu	China	28-Jan-1994
125	Elise	Mertens	Belgium	17-Nov-1995
126	Tamira	Paszek	Austria	06-Dec-1990
127	Grace	Min	United states	06-May-1994
128	Sílvia	Soler-espinosa	Spain	19-Nov-1987
129	Veronica	Cepede royg	Paraguay	21-Jan-1992
130	Ana	Bogdan	Romania	25-Nov-1992
131	Kai-chen	Chang	Chinese taipei	13-Jan-1991
132	Richel	Hogenkamp	Netherlands	16-Apr-1992
133	Kai-lin	Zhang	China	28-Jan-1990
134	Taylor	Townsend	United states	16-Apr-1996
135	Aryna	Sabalenka	Belarus	05-May-1998
136	Sachia	Vickery	United states	11-May-1995
137	Isabella	Shinikova	Bulgaria	25-Oct-1991
138	Cindy	Burger	Netherlands	25-Nov-1992
139	Elitsa	Kostova	Bulgaria	10-Apr-1990
140	Alla	Kudryavtseva	Russia	03-Nov-1987
141	Polona	Hercog	Slovenia	20-Jan-1991
142	Nina	Stojanovic	Serbia	30-Jul-1996
143	Su jeong	Jang	South korea	13-Mar-1995
144	Rebecca	Peterson	Sweden	06-Aug-1995
145	Karin	Knapp	Italy	28-Jun-1987
146	Fangzhou	Liu	China	12-Dec-1995
147	Aleksandra	Krunic	Serbia	15-Mar-1993
148	Natalia	Vikhlyantseva	Russia	16-Feb-1997
149	Zarina	Diyas	Kazakhstan	18-Oct-1993
150	Elizaveta	Kulichkova	Russia	12-Apr-1996
151	Barbara	Haas	Austria	19-Mar-1996
152	Misa	Eguchi	Japan	18-Apr-1992
153	Sabina	Sharipova	Uzbekistan	04-Sep-1994
154	Magdalena	Rybarikova	Slovakia	04-Oct-1988
155	Viktoriya	Tomova	Bulgaria	25-Feb-1995
156	Dalila	Jakupovic	Slovenia	24-Mar-1991
157	Ivana	Jorovic	Serbia	03-May-1997
158	Tamara	Korpatsch	Germany	12-May-1995
159	Ipek	Soylu	Turkey	15-Apr-1996
160	Tara	Moore	United kingdom	06-Aug-1992
161	Tereza	Martincova	Czech republic	24-Oct-1994
162	Anastasia	Pivovarova	Russia	16-Jun-1990
163	Dalma	Galfi	Hungary	13-Aug-1998
164	Lucie	Hradecka	Czech republic	21-May-1985
165	Jessica	Pegula	United states	24-Feb-1994
166	Paula cristina	Goncalves	Brazil	11-Aug-1990
167	Virginie	Razzano	France	12-May-1983
168	Olga	Govortsova	Belarus	23-Aug-1988
169	Barbora	Stefkova	Czech republic	04-Apr-1995
170	Nigina	Abduraimova	Uzbekistan	07-Jul-1994
171	Tereza	Smitkova	Czech republic	10-Oct-1994
172	Beatriz	Haddad maia	Brazil	30-May-1996
173	Francoise	Abanda	Canada	05-Feb-1997
174	Arantxa	Rus	Netherlands	13-Dec-1990
175	Montserrat	Gonzalez	Paraguay	01-Jul-1994
176	Bethanie	Mattek-sands	United states	23-Mar-1985
177	Luksika	Kumkhum	Thailand	21-Jul-1993
178	Antonia	Lottner	Germany	13-Aug-1996
179	Na-lae	Han	South korea	06-Jul-1992
180	Susanne	Celik	Sweden	06-Dec-1994
181	Conny	Perrin	Switzerland	25-Dec-1990
182	Tadeja	Majeric	Slovenia	31-Aug-1990
183	Mona	Barthel	Germany	11-Jul-1990
184	Amra	Sadikovic	Switzerland	06-May-1989
185	Miyu	Kato	Japan	21-Nov-1994
186	Julia	Glushko	Israel	01-Jan-1990
187	Anna	Kalinskaya	Russia	02-Dec-1998
188	Myrtille	Georges	France	21-Dec-1990
189	Victoria	Kamenskaya	Russia	26-Nov-1991
190	Arina	Rodionova	Australia	15-Dec-1989
191	Jamie	Loeb	United states	08-Mar-1995
192	Asia	Muhammad	United states	04-Apr-1991
193	Catalina	Pella	Argentina	31-Jan-1993
194	Nadia	Podoroska	Argentina	10-Feb-1997
195	Ons	Jabeur	Tunisia	28-Aug-1994
196	Kayla	Day	United states	28-Sep-1999
197	Ksenia	Lykina	Russia	19-Jun-1990
198	Anna	Tatishvili	United states	03-Feb-1990
199	Tamara	Zidansek	Slovenia	26-Dec-1997
200	Hiroko	Kuwata	Japan	18-Dec-1990
201	Anna	Blinkova	Russia	10-Sep-1998
202	Quirine	Lemoine	Netherlands	25-Dec-1991
203	Anastasiya	Komardina	Russia	08-Jul-1997
204	Riko	Sawayanagi	Japan	25-Oct-1994
205	Lina	Gjorcheska	Macedonia	03-Aug-1994
206	Teliana	Pereira	Brazil	20-Jul-1988
207	Amandine	Hesse	France	16-Jan-1993
208	Veronika	Kudermetova	Russia	24-Apr-1997
209	Lesley	Kerkhove	Netherlands	04-Nov-1991
210	Jil	Teichmann	Switzerland	15-Jul-1997
211	Sesil	Karatantcheva	Bulgaria	08-Aug-1989
212	Andreea	Mitu	Romania	22-Sep-1991
213	Sofia	Kenin	United states	14-Nov-1998
214	Alizé	Lim	France	13-Jul-1990
215	Jasmine	Paolini	Italy	04-Jan-1996
216	Valentini	Grammatikopoulou	Greece	09-Feb-1997
217	Lizette	Cabrera	Australia	19-Dec-1997
218	An-sophie	Mestach	Belgium	07-Mar-1994
219	Eri	Hozumi	Japan	17-Feb-1994
220	Lourdes	Domínguez lino	Spain	31-Mar-1981
221	Varvara	Flink	Russia	13-Dec-1996
222	Laura	Robson	United kingdom	21-Jan-1994
223	Shuko	Aoyama	Japan	19-Dec-1987
224	Jesika	Maleckova	Czech republic	16-Aug-1994
225	Viktoria	Kuzmova	Slovakia	11-May-1998
226	Mayo	Hibi	Japan	03-Apr-1996
227	Anna karolina	Schmiedlova	Slovakia	13-Sep-1994
228	Daniela	Hantuchova	Slovakia	23-Apr-1983
229	Reka-luca	Jani	Hungary	31-Jul-1991
230	Ysaline	Bonaventure	Belgium	29-Aug-1994
231	Kristie	Ahn	United states	15-Jun-1992
232	Michelle	Larcher de brito	Portugal	29-Jan-1993
233	Sofia	Shapatava	Georgia	12-Jan-1989
234	Alexandra	Panova	Russia	02-Mar-1989
235	Valeriya	Solovyeva	Russia	03-Nov-1992
236	Martina	Trevisan	Italy	03-Nov-1993
237	Daniela	Seguel	Chile	15-Nov-1992
238	Karolina	Muchova	Czech republic	21-Aug-1996
239	Jennifer	Elie	United states	22-Sep-1986
240	Robin	Anderson	United states	12-Apr-1993
241	Fiona	Ferro	France	12-Mar-1997
242	Katarzyna	Piter	Poland	16-Feb-1991
243	Aleksandrina	Naydenova	Bulgaria	29-Feb-1992
244	Akiko	Omae	Japan	29-Jan-1993
245	Irina	Bara	Romania	18-Mar-1995
246	Lauren	Albanese	United states	01-Oct-1989
247	Marina	Melnikova	Russia	05-Feb-1989
248	Sherazad	Reix	France	03-Apr-1989
249	Paula	Kania	Poland	06-Nov-1992
250	Chang	Liu	China	01-Aug-1990
251	Tessah	Andrianjafitrimo	France	11-Oct-1998
252	Shiho	Akita	Japan	18-Jan-1990
253	Barbora	Krejcikova	Czech republic	18-Dec-1995
254	Deniz	Khazaniuk	Israel	24-Oct-1994
255	Elena-gabriela	Ruse	Romania	06-Nov-1997
256	Junri	Namigata	Japan	05-Jul-1982
257	Marie	Bouzkova	Czech republic	21-Jul-1998
258	Cristina	Dinu	Romania	18-Jan-1993
259	Melanie	Oudin	United states	23-Sep-1991
260	Kathinka	Von deichmann	Liechtenstein	16-May-1994
261	Urszula	Radwanska	Poland	07-Dec-1990
262	Jing-jing	Lu	China	05-May-1989
263	Jia-jing	Lu	China	18-Nov-1989
264	Danielle	Collins	United states	13-Dec-1993
265	Polina	Leykina	Russia	20-Sep-1994
266	Jacqueline	Cako	United states	30-Aug-1991
267	Jovana	Jaksic	Serbia	30-Sep-1993
268	Petra	Martic	Croatia	19-Jan-1991
269	Anne	Schaefer	Germany	01-Mar-1987
270	Kyoka	Okamura	Japan	06-Oct-1995
271	Ankita	Raina	India	11-Jan-1993
272	Georgina	Garcia perez	Spain	13-May-1992
273	Peangtarn	Plipuech	Thailand	15-Nov-1992
274	Michaella	Krajicek	Netherlands	09-Jan-1989
275	Valeriya	Strakhova	Ukraine	09-Jun-1995
276	Alexandra	Cadantu	Romania	03-May-1990
277	Ashleigh	Barty	Australia	24-Apr-1996
278	Gabriela	Pantuckova	Czech republic	10-Feb-1995
279	Olivia	Rogowska	Australia	07-Jun-1991
280	Alexandra	Dulgheru	Romania	30-May-1989
281	Shilin	Xu	China	10-Jan-1998
282	Jessica	Pieri	Italy	24-Apr-1997
283	Fanny	Stollar	Hungary	12-Nov-1998
284	Victoria	Kan	Russia	03-Aug-1995
285	Laura	Schaeder	Germany	25-Apr-1993
286	Varatchaya	Wongteanchai	Thailand	07-Sep-1989
287	Andrea	Hlavackova	Czech republic	10-Aug-1986
288	Zhaoxuan	Yang	China	11-Feb-1995
289	Amanda	Carreras	United kingdom	16-May-1990
290	Laura	Pous-tio	Spain	01-Oct-1984
291	Nicha	Lertpitaksinchai	Thailand	14-Aug-1991
292	Sofya	Zhuk	Russia	01-Dec-1999
293	Magdalena	Frech	Poland	15-Dec-1997
294	Storm	Sanders	Australia	11-Aug-1994
295	Anastasia	Grymalska	Italy	12-Jul-1990
296	Jana	Fett	Croatia	02-Nov-1996
297	Ekaterine	Gorgodze	Georgia	03-Dec-1991
298	Patty	Schnyder	Switzerland	14-Dec-1978
299	Bianca	Andreescu	Canada	16-Jun-2000
300	Olga	Saez larra	Spain	18-Sep-1994
301	Yuxuan	Zhang	China	19-Aug-1994
302	Renata	Zarazua	Mexico	30-Sep-1997
303	Indy	De vroome	Netherlands	21-May-1996
304	Aleksandra	Wozniak	Canada	07-Sep-1987
305	Kaia	Kanepi	Estonia	10-Jun-1985
306	Raveena	Kingsley	United states	23-Jul-1998
307	Tereza	Mrdeza	Croatia	14-Nov-1990
308	Anna	Zaja	Germany	25-Jun-1991
309	Chloe	Paquet	France	01-Jul-1994
310	Nicoleta	Dascalu	Romania	19-Dec-1995
311	Olga	Savchuk	Ukraine	20-Sep-1987
312	Julia	Grabher	Austria	02-Jul-1996
313	Xinyu	Gao	China	21-Nov-1997
314	Rebeka	Masarova	Switzerland	06-Aug-1999
315	Paula	Badosa gibert	Spain	15-Nov-1997
316	Katy	Dunne	United kingdom	16-Feb-1995
317	Danielle	Lao	United states	28-May-1991
318	Olga	Ianchuk	Ukraine	29-Mar-1995
319	Elizabeth	Halbauer	United states	10-Jul-1997
320	Ya-hsuan	Lee	Chinese taipei	20-Jul-1995
321	Valentyna	Ivakhnenko	Russia	27-Jun-1993
322	Bernarda	Pera	United states	03-Dec-1994
323	Caitlin	Whoriskey	United states	19-Feb-1988
324	Diana	Marcinkevica	Latvia	03-Aug-1992
325	Usue maitane	Arconada	United states	28-Oct-1998
326	Olga	Doroshina	Russia	24-Jun-1994
327	Georgia	Brescia	Italy	08-Feb-1996
328	Fang ying	Xun	China	14-Jan-1995
329	Vera	Lapko	Belarus	29-Sep-1998
330	Tena	Lukas	Croatia	10-May-1995
331	Francesca	Di lorenzo	United states	22-Jul-1997
332	Ran	Tian	China	08-Jan-1994
333	Freya	Christie	United kingdom	08-Nov-1997
334	Camilla	Rosatello	Italy	28-May-1995
335	Julia	Terziyska	Bulgaria	05-Mar-1996
336	Harriet	Dart	United kingdom	28-Jul-1996
337	Michaela	Honcova	Slovakia	22-Dec-1992
338	Katharina	Hobgarski	Germany	18-Jun-1997
339	Elizaveta	Ianchuk	Ukraine	08-Mar-1993
340	Dayana	Yastremska	Ukraine	15-May-2000
341	Polina	Monova	Russia	06-Apr-1993
342	Chanel	Simmonds	South africa	10-Aug-1992
343	Claire	Feuerstein	France	28-Feb-1986
344	Basak	Eraydin	Turkey	21-Jun-1994
345	Maria	Sanchez	United states	26-Nov-1989
346	Caroline	Dolehide	United states	05-Sep-1998
347	Greet	Minnen	Belgium	14-Aug-1997
348	Elyne	Boeykens	Belgium	03-Apr-1991
349	Anna	Morgina	Russia	21-Aug-1991
350	Kamila	Kerimbayeva	Kazakhstan	18-Jun-1995
351	Jaqueline	Cristian	Romania	05-Jun-1998
352	Galina	Voskoboeva	Kazakhstan	18-Dec-1984
353	Yuuki	Tanaka	Japan	07-Mar-1990
354	Victoria	Rodriguez	Mexico	22-Apr-1995
355	Martina	Di giuseppe	Italy	10-Feb-1991
356	Ching-wen	Hsu	Chinese taipei	19-Aug-1996
357	Melanie	Stokke	Norway	01-Oct-1996
358	Olga	Fridman	Ukraine	30-Sep-1998
359	Yifan	Xu	China	08-Aug-1988
360	Cristiana	Ferrando	Italy	10-Aug-1995
361	Ayano	Shimizu	Japan	11-Apr-1998
362	Ayla	Aksu	Turkey	15-Jul-1996
363	Giulia	Gatto-monticone	Italy	18-Nov-1987
364	Katie	Boulter	United kingdom	01-Aug-1996
365	Lyudmyla	Kichenok	Ukraine	20-Jul-1992
366	Ying	Zhang	China	15-Apr-1996
367	Elixane	Lechemia	France	03-Sep-1991
368	Natela	Dzalamidze	Russia	27-Feb-1993
369	Stéphanie	Foretz	France	03-May-1981
370	Julia	Wachaczyk	Germany	13-Apr-1994
371	Zuzana	Zlochova	Slovakia	24-Jan-1990
372	Erika	Sema	Japan	24-Nov-1988
373	Anastasiya	Vasylyeva	Ukraine	18-Jan-1992
374	Claudia	Giovine	Italy	18-Jul-1990
375	Marta	Paigina	Russia	03-Mar-1999
376	Fernanda	Brito	Chile	14-Feb-1992
377	Hanyu	Guo	China	18-May-1998
378	Gabriella	Taylor	United kingdom	07-Mar-1998
379	Martina	Caregaro	Italy	19-May-1992
380	Makoto	Ninomiya	Japan	28-May-1994
381	Vivien	Juhaszova	Slovakia	17-Jul-1993
382	Agnes	Bukta	Hungary	29-Oct-1993
383	Harmony	Tan	France	11-Sep-1997
384	Katie	Swan	United kingdom	24-Mar-1999
385	Margot	Yerolymos	France	19-Apr-1997
386	Akgul	Amanmuradova	Uzbekistan	23-Jun-1984
387	Anastasia	Gasanova	Russia	15-May-1999
388	Chiara	Scholl	United states	05-Jul-1992
389	Destanee	Aiava	Australia	10-May-2000
390	Vanda	Lukacs	Hungary	08-Dec-1992
391	Chantal	Skamlova	Slovakia	04-Sep-1993
392	Vesna	Dolonc	Serbia	21-Jul-1989
393	Alyona	Sotnikova	Ukraine	05-May-1992
394	Katerina	Stewart	United states	17-Jul-1997
395	Pemra	Ozgen	Turkey	08-May-1986
396	Miharu	Imanishi	Japan	20-May-1992
397	Romina	Oprandi	Switzerland	29-Mar-1986
398	Manon	Arcangioli	France	28-Aug-1994
399	Maria	Marfutina	Russia	06-Jun-1997
400	Klara	Koukalova	Czech republic	24-Feb-1982
401	Jessica	Moore	Australia	16-Aug-1990
402	Marie	Benoit	Belgium	16-Mar-1995
403	Polina	Vinogradova	Russia	27-Nov-1993
404	Xiaodi	You	China	12-May-1996
405	Irina	Ramialison	France	09-Jun-1991
406	Chieh-yu	Hsu	Chinese taipei	14-Jan-1992
407	Angelica	Moratelli	Italy	17-Aug-1994
408	Lou	Brouleau	France	19-May-1995
409	Paula	Ormaechea	Argentina	28-Sep-1992
410	Alison	Bai	Australia	18-Jan-1990
411	Katarzyna	Kawa	Poland	17-Nov-1992
412	Alexandra	Perper	Moldova	29-Jul-1991
413	Karen	Barritza	Denmark	03-Jul-1992
414	Ulrikke	Eikeri	Norway	16-Dec-1992
415	Ronit	Yurovsky	United states	03-Dec-1993
416	Lenka	Jurikova	Slovakia	11-Aug-1990
417	Ana	Veselinovic	Montenegro	22-Feb-1988
418	Noppawan	Lertcheewakarn	Thailand	18-Nov-1991
419	Nastassja	Burnett	Italy	20-Feb-1992
420	Laura	Pigossi	Brazil	02-Aug-1994
421	Mihaela	Buzarnescu	Romania	04-May-1988
422	Sandra	Samir	Egypt	04-Nov-1997
423	María-teresa	Torró-flor	Spain	02-May-1992
424	Marketa	Vondrousova	Czech republic	28-Jun-1999
425	Jaimee	Fourlis	Australia	17-Sep-1999
426	Petra	Krejsova	Czech republic	30-Jun-1990
427	Mana	Ayukawa	Japan	14-Sep-1994
428	Yana	Sizikova	Russia	12-Nov-1994
429	Sunam	Jeong	South korea	06-Jun-1996
430	Valeria	Savinykh	Russia	20-Feb-1991
431	Stephanie	Vogt	Liechtenstein	15-Feb-1990
432	Dejana	Radanovic	Serbia	14-May-1996
433	Pia	Konig	Austria	14-May-1993
434	Olesya	Pervushina	Russia	29-Apr-2000
435	Tess	Sugnaux	Switzerland	03-Mar-1995
436	Kimberley	Zimmermann	Belgium	09-Nov-1995
437	Vitalia	Diatchenko	Russia	02-Aug-1990
438	Tereza	Mihalikova	Slovakia	02-Jun-1998
439	Sanaz	Marand	United states	21-Jun-1988
440	Ayaka	Okuno	Japan	21-Jun-1995
441	Ioana loredana	Rosca	Romania	20-Sep-1996
442	Anastasia	Vdovenco	Moldova	20-Apr-1994
443	Lisa	Sabino	Switzerland	26-Jul-1986
444	Gabriela	Dabrowski	Canada	01-Apr-1992
445	Xuliu	Sun	China	07-Mar-1994
446	Na-ri	Kim	South korea	04-Apr-1990
447	Fatma	Al nabhani	Oman	20-May-1991
448	Abigail	Tere-apisah	Papua new guinea	13-Jul-1992
449	Bunyawi	Thamchaiwat	Thailand	29-Jul-1998
450	Ji-hee	Choi	South korea	10-Feb-1995
451	Dea	Herdzelas	Bosnia and herzegovina	07-Nov-1996
452	Naiktha	Bains	Australia	17-Dec-1997
453	Melis	Sezer	Turkey	02-Jun-1993
454	Anna	Bondar	Hungary	27-May-1997
455	Tammi	Patterson	Australia	03-Jan-1990
456	Alena	Tarasova	Russia	07-Dec-1994
457	Jessika	Ponchet	France	26-Sep-1996
458	Jiaqi	Kang	China	19-Jul-1997
459	Anastasia	Frolova	Russia	21-Jun-1994
460	Corinna	Dentoni	Italy	30-Jul-1989
461	Vlada	Ekshibarova	Israel	14-Mar-1989
462	Magdalena	Pantuckova	Czech republic	28-Jan-1999
463	Ana	Vrljic	Croatia	01-Aug-1984
464	Stefanie	Tan	Singapore	16-Sep-1992
465	Ioana	Pietroiu	Romania	17-Feb-1998
466	Victoria	Bosio	Argentina	03-Oct-1994
467	Pei-chi	Lee	Chinese taipei	16-Oct-1994
468	Alice	Matteucci	Italy	29-Sep-1995
469	Alberta	Brianti	Italy	05-Apr-1980
470	Andrea	Gamiz	Venezuela	31-Oct-1992
471	Ganna	Poznikhirenko	Ukraine	08-Apr-1994
472	Doroteja	Eric	Serbia	01-Aug-1992
473	Oleksandra	Korashvili	Ukraine	01-Mar-1996
474	Ana sofia	Sánchez	Mexico	13-Apr-1994
475	Jiaxi	Lu	China	03-Mar-1997
476	Oana georgeta	Simion	Romania	08-Mar-1996
477	Caroline	Romeo	France	16-Jul-1994
478	Sofiya	Kovalets	Ukraine	10-Jul-1994
479	Bibiane	Schoofs	Netherlands	13-May-1988
480	Raluca	Serban	Romania	17-Jun-1997
481	Daiana	Negreanu	Romania	21-Jun-1988
482	Anastasia	Pribylova	Russia	12-Feb-1996
483	Olivia	Tjandramulia	Australia	11-May-1997
484	Julia	Elbaba	United states	13-Jun-1994
485	Anastasiya	Shoshyna	Ukraine	30-Nov-1997
486	Nicole	Coopersmith	United states	08-May-1999
487	Deborah	Chiesa	Italy	13-Jun-1996
488	Lisa	Whybourn	United kingdom	11-May-1991
489	Sara	Tomic	Australia	05-Feb-1998
490	Nadiia	Kichenok	Ukraine	20-Jul-1992
491	Tori	Kinard	United states	24-Nov-1987
492	Ao	Gai	China	11-Jan-1995
493	Sviatlana	Pirazhenka	Belarus	12-Sep-1992
494	Jacqueline	Cabaj awad	Sweden	28-Jan-1996
495	Gozal	Ainitdinova	Kazakhstan	22-Aug-1998
496	Kristina	Schmiedlova	Slovakia	06-Aug-1997
497	Cristina	Ene	Romania	18-Dec-1995
498	Carol	Zhao	Canada	20-Jun-1995
499	Shanshan	Guo	China	09-Aug-1996
500	Theo	Gravouil	France	30-Jul-1998
501	Deborah	Kerfs	Belgium	10-Mar-1995
502	Sara	Cakarevic	France	12-Mar-1997
503	Josephine	Boualem	France	05-Aug-1993
504	Yan	Wang	China	01-Jan-1996
505	Isabelle	Wallace	Australia	07-Sep-1996
506	Chayenne	Ewijk	Netherlands	17-Aug-1988
507	Helene	Scholsen	Belgium	09-Jan-1996
508	Hanna	Chang	United states	25-Feb-1998
509	Zhanlan	Wei	China	05-Jan-1998
510	Vivian	Heisen	Germany	27-Dec-1993
511	Manca	Pislak	Slovenia	09-Sep-1997
512	Alice	Balducci	Italy	11-Sep-1986
513	Estelle	Cascino	France	13-Mar-1996
514	Mariam	Bolkvadze	Georgia	01-Jan-1998
515	Kimberly	Birrell	Australia	29-Apr-1998
516	Priscilla	Hon	Australia	10-May-1998
517	Gabriela	Ce	Brazil	03-Mar-1993
518	Mizuno	Kijima	Japan	21-Nov-1995
519	Jade	Suvrijn	France	27-Apr-1995
520	Carolina	Alves	Brazil	23-Apr-1996
521	Kamonwan	Buayam	Thailand	15-Feb-1996
522	Irene	Burillo escorihuela	Spain	23-Jul-1997
523	Nicole	Frenkel	United states	29-Apr-1998
524	Sandra	Zaniewska	Poland	03-Jan-1992
525	Chihiro	Muramatsu	Japan	22-May-1998
526	Ekaterina	Yashina	Russia	06-Aug-1993
527	Alexandra	Sanford	United states	05-Jan-1999
528	Emina	Bektas	United states	30-Mar-1993
529	Melanie	Klaffner	Austria	22-May-1990
530	Miriam	Kolodziejova	Czech republic	11-Apr-1997
531	Julieta	Estable	Argentina	15-Jul-1997
532	Sabrina	Santamaria	United states	24-Feb-1993
533	Sofia	Kvatsabaia	Georgia	18-Jul-1988
534	Miyabi	Inoue	Japan	19-Nov-1991
535	Eleni	Kordolaimi	Greece	07-Mar-1993
536	Margarita	Lazareva	Russia	10-Oct-1990
